Gene	citekey	Tier	QC	Novel
SLC16A7	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
SLC38A8	lohrDiscoveryPrioritizationSomatic2012a	2	NA	FALSE
SLC4A8	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
SLC5A1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
SLC9A5	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
SMEK1	zhangGeneticHeterogeneityDiffuse2013	2	NA	TRUE
SOCS1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
SOX6	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
SPEG	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
SPTBN1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ST8SIA3	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
SULF2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
TAF1L	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
TAF4B	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
THBS4	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
TIMM50	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
TLN2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
TMC1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
TMEM161A	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
TMEM16E	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
TMEM30A	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TMEM63A	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
TNFAIP3	compagnoMutationsMultipleGenes2009a	1	NA	FALSE
TNFRSF14	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TP53	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
TPRKB	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
TRIM37	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
TRIP11	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
TRRAP	zhangGeneticHeterogeneityDiffuse2013	1	NA	TRUE
TSC2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
TSHZ2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
UHRF1BP1L	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
UNC13B	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
UNC5D	lohrDiscoveryPrioritizationSomatic2012a	2	NA	FALSE
UQCRC1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
VPS13A	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
WDR65	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
WDR66	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
WDR67	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
NSD2	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
WIF1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
WNK4	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
WT1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
XDH	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ZIC4	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ZNF354A	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ZNF366	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ZNF439	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ZNF474	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ZNF700	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ZNF790	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ZNF91	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
ZP1	zhangGeneticHeterogeneityDiffuse2013	3	NA	TRUE
